debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,derived_sex,applicant_ethnicity-1,derived_race,co-applicant_ethnicity-1,applicant_sex_observed,action_taken,purchaser_type,preapproval,tract_minority_population_percent,loan_type,loan_purpose,tract_population,income,ffiec_msa_md_median_family_income,tract_median_age_of_housing_units,applicant_age,applicant_age_above_62,co-applicant_age_above_62,loan_amount,action_taken_final
20%-<30%,8,10,Male,3.0,White,5.0,2,3,0,2,15.5,1,4,3451,179.0,72800,61,45-54,No,,45000.0,Denied
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,87.4,1,1,4563,38.0,72800,0,8888,,,95000.0,Approved
46,8,10,Male,2.0,Black or African American,5.0,2,3,0,2,98.65,1,2,3334,94.0,72800,74,45-54,No,,55000.0,Denied
20%-<30%,8,10,Male,2.0,Black or African American,5.0,2,3,0,2,93.39,1,2,2935,42.0,72800,61,45-54,No,,45000.0,Denied
,9,9,Male,2.0,Asian,5.0,2,4,0,2,29.01,1,1,3944,87.0,72800,38,35-44,No,,285000.0,Approved
<20%,8,9,Joint,2.0,White,2.0,2,1,0,2,34.68,1,2,4819,289.0,72800,37,35-44,No,No,75000.0,Approved
40,8,10,Male,2.0,Asian,5.0,2,3,0,2,31.32,1,4,2034,137.0,72800,37,25-34,No,,65000.0,Denied
20%-<30%,8,9,Joint,2.0,White,2.0,2,3,0,2,24.87,1,4,1512,150.0,72800,65,25-34,No,No,45000.0,Denied
,9,9,Joint,2.0,White,2.0,2,5,0,2,25.86,1,4,2626,104.0,72800,59,55-64,No,Yes,65000.0,Approved
<20%,8,10,Female,2.0,White,5.0,2,3,0,2,25.38,1,2,2660,27.0,72800,64,65-74,Yes,,25000.0,Denied
50%-60%,8,10,Male,3.0,Race Not Available,5.0,2,3,0,2,11.12,1,2,2797,65.0,72800,50,35-44,No,,55000.0,Denied
30%-<36%,8,10,Female,2.0,White,5.0,2,3,0,2,90.1,1,2,3345,33.0,72800,0,25-34,No,,55000.0,Denied
30%-<36%,3,10,Female,2.0,White,5.0,2,1,3,2,25.97,1,1,3562,50.0,72800,35,55-64,Yes,,165000.0,Approved
30%-<36%,8,9,Joint,2.0,Asian,2.0,2,3,0,2,50.77,1,4,3498,200.0,72800,25,45-54,No,No,95000.0,Denied
41,8,9,Joint,2.0,White,2.0,2,1,0,2,10.63,1,31,2520,36.0,72800,64,55-64,Yes,Yes,105000.0,Approved
<20%,9,10,Female,2.0,White,5.0,2,3,0,2,15.12,1,4,2857,98.0,72800,49,45-54,No,,55000.0,Denied
,9,9,Female,3.0,Race Not Available,5.0,2,5,0,2,11.46,1,4,3141,46.0,72800,64,35-44,No,,25000.0,Approved
50%-60%,8,10,Female,2.0,White,5.0,2,3,0,2,29.01,1,2,3944,66.0,72800,38,35-44,No,,25000.0,Denied
<20%,8,10,Male,3.0,Race Not Available,5.0,2,3,0,2,98.78,1,2,3201,52.0,72800,66,45-54,No,,85000.0,Denied
20%-<30%,1,9,Joint,1.0,White,2.0,2,3,0,2,9.79,1,1,4431,119.0,72800,53,35-44,No,No,275000.0,Denied
50%-60%,9,8,Joint,2.0,Asian,2.0,2,3,0,2,18.25,1,2,3688,33.0,72800,63,>74,Yes,Yes,25000.0,Denied
,9,9,Male,2.0,White,5.0,2,5,0,2,12.44,1,2,5352,170.0,72800,73,25-34,No,,25000.0,Approved
>60%,8,10,Female,2.0,Black or African American,5.0,2,3,0,2,19.0,1,2,5274,105.0,72800,29,35-44,No,,85000.0,Denied
,9,9,Joint,2.0,White,2.0,2,5,0,2,17.18,1,2,7117,423.0,72800,27,55-64,No,No,105000.0,Approved
50%-60%,8,10,Female,3.0,Race Not Available,5.0,2,3,0,2,97.17,1,4,3037,102.0,72800,67,45-54,No,,55000.0,Denied
>60%,8,10,Female,2.0,Race Not Available,5.0,2,3,0,2,31.49,1,2,5811,75.0,72800,44,<25,No,,55000.0,Denied
30%-<36%,8,10,Male,2.0,Black or African American,5.0,2,3,0,2,97.17,1,4,3037,50.0,72800,67,45-54,No,,45000.0,Denied
>60%,8,10,Male,2.0,White,5.0,2,3,0,2,79.86,1,4,1559,90.0,72800,46,25-34,No,,25000.0,Denied
30%-<36%,8,10,Female,2.0,Black or African American,5.0,2,1,0,2,42.24,1,2,1906,27.0,72800,68,65-74,Yes,,25000.0,Approved
20%-<30%,8,10,Female,2.0,Black or African American,5.0,2,3,0,2,54.26,1,2,2687,69.0,72800,63,35-44,No,,35000.0,Denied
49,8,10,Male,2.0,White,5.0,2,1,0,2,13.2,1,31,3461,39.0,72800,53,>74,Yes,,145000.0,Approved
20%-<30%,9,8,Joint,3.0,Race Not Available,3.0,2,3,0,2,29.7,1,2,2266,126.0,72800,39,55-64,Yes,No,105000.0,Denied
20%-<30%,1,9,Joint,2.0,White,2.0,2,1,0,1,13.66,1,1,6471,167.0,72800,39,25-34,No,No,345000.0,Approved
38,8,10,Female,2.0,Black or African American,5.0,2,3,0,2,75.2,1,2,4431,120.0,72800,63,35-44,No,,55000.0,Denied
>60%,8,10,Female,2.0,Black or African American,5.0,2,3,0,2,85.39,1,2,3948,91.0,72800,24,45-54,No,,55000.0,Denied
30%-<36%,8,10,Male,2.0,White,5.0,2,1,0,2,22.6,1,2,6023,106.0,72800,37,55-64,Yes,,125000.0,Approved
<20%,9,9,Joint,1.0,White,2.0,2,3,0,2,18.57,1,2,3759,204.0,72800,70,45-54,No,No,35000.0,Denied
40,1,10,Female,2.0,Black or African American,5.0,2,1,3,2,54.26,1,1,2687,43.0,72800,63,45-54,No,,45000.0,Approved
>60%,8,10,Male,2.0,Asian,5.0,2,3,0,2,18.25,1,2,3688,17.0,72800,63,>74,Yes,,25000.0,Denied
38,2,10,Female,2.0,White,5.0,2,1,3,2,12.21,1,1,2743,64.0,72800,64,25-34,No,,255000.0,Approved
44,8,10,Female,2.0,Asian,5.0,2,1,0,2,10.93,1,2,2570,65.0,72800,60,45-54,No,,205000.0,Approved
30%-<36%,8,10,Male,2.0,White,5.0,2,3,0,2,15.52,1,4,2732,130.0,72800,55,45-54,No,,25000.0,Denied
47,8,10,Female,2.0,White,5.0,2,3,0,2,17.3,1,31,4508,25.0,72800,34,>74,Yes,,105000.0,Denied
,9,9,Joint,3.0,Race Not Available,3.0,2,4,0,2,10.22,1,2,3631,512.0,72800,57,45-54,No,No,105000.0,Approved
>60%,8,10,Female,2.0,Race Not Available,5.0,2,3,0,2,98.97,1,2,3793,70.0,72800,66,35-44,No,,45000.0,Denied
44,1,10,Male,2.0,Black or African American,5.0,2,1,3,2,97.73,1,32,3132,62.0,72800,72,55-64,Yes,,35000.0,Approved
38,8,10,Female,2.0,White,5.0,2,1,0,2,17.3,1,4,3901,61.0,72800,68,45-54,No,,85000.0,Approved
,9,9,Male,2.0,White,5.0,2,4,0,2,22.39,1,2,5019,180.0,72800,43,35-44,No,,25000.0,Approved
20%-<30%,8,10,Male,2.0,White,5.0,2,1,0,2,17.18,1,2,7117,230.0,72800,27,45-54,No,,105000.0,Approved
,9,9,Male,3.0,Black or African American,5.0,2,4,0,2,97.34,1,2,2215,56.0,72800,0,45-54,No,,25000.0,Approved
20%-<30%,8,9,Joint,2.0,White,2.0,2,3,0,2,47.61,1,2,3806,87.0,72800,55,45-54,No,No,105000.0,Denied
39,3,10,Male,1.0,White,5.0,2,3,0,2,66.23,1,1,3026,37.0,72800,0,55-64,No,,75000.0,Denied
30%-<36%,3,9,Joint,2.0,White,2.0,2,1,0,2,9.61,1,1,5817,426.0,72800,76,55-64,No,No,425000.0,Approved
45,3,10,Female,3.0,Race Not Available,5.0,2,1,3,1,98.16,1,1,3365,34.0,72800,66,35-44,No,,85000.0,Approved
30%-<36%,8,10,Male,2.0,Race Not Available,5.0,2,3,0,2,34.68,1,2,4819,203.0,72800,37,45-54,No,,105000.0,Denied
,9,9,Female,2.0,Black or African American,5.0,2,5,0,2,98.58,1,4,3321,40.0,72800,67,55-64,No,,45000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,66.77,1,1,2943,270.0,72800,0,8888,,,435000.0,Approved
43,1,10,Female,2.0,White,5.0,2,2,0,2,16.36,1,32,3894,20.0,72800,64,65-74,Yes,,55000.0,Approved
<20%,8,10,Male,2.0,White,5.0,2,3,0,2,21.47,1,2,4109,1050.0,72800,0,45-54,No,,405000.0,Denied
>60%,8,10,Male,2.0,Black or African American,5.0,2,3,0,2,97.72,1,4,4078,38.0,72800,70,>74,Yes,,35000.0,Denied
20%-<30%,9,3,Joint,2.0,White,2.0,2,3,0,2,14.8,1,32,2791,113.0,72800,64,35-44,No,No,135000.0,Denied
,9,9,Joint,2.0,White,2.0,2,4,0,2,27.53,1,31,3640,40.0,72800,65,>74,Yes,Yes,55000.0,Approved
20%-<30%,8,10,Male,2.0,White,5.0,2,3,0,2,40.44,1,2,5722,200.0,72800,44,25-34,No,,45000.0,Denied
20%-<30%,8,10,Sex Not Available,3.0,Race Not Available,5.0,2,3,0,2,11.33,1,4,7155,140.0,72800,62,25-34,No,,45000.0,Denied
42,8,10,Male,2.0,Black or African American,5.0,2,1,0,2,40.44,1,4,5722,77.0,72800,44,55-64,No,,55000.0,Approved
,9,9,Female,2.0,Black or African American,5.0,2,5,0,2,83.31,1,2,3546,68.0,72800,76,35-44,No,,45000.0,Approved
,9,9,Male,2.0,2 or more minority races,5.0,2,4,0,2,96.68,1,2,3944,41.0,72800,72,45-54,No,,55000.0,Approved
,9,9,Male,3.0,Black or African American,5.0,2,4,0,2,96.84,1,2,4109,72.0,72800,71,55-64,No,,75000.0,Approved
43,8,10,Male,2.0,White,5.0,2,1,0,2,9.61,1,2,5817,78.0,72800,76,55-64,No,,65000.0,Approved
43,9,10,Female,2.0,Black or African American,5.0,2,1,0,2,98.45,1,1,1549,59.0,72800,72,45-54,No,,155000.0,Approved
37,8,9,Joint,2.0,White,2.0,2,1,0,2,23.56,1,2,5789,101.0,72800,60,45-54,No,No,155000.0,Approved
,9,9,Joint,2.0,White,2.0,2,5,0,2,19.0,1,2,5274,90.0,72800,29,35-44,No,No,65000.0,Approved
,9,9,Male,2.0,Asian,5.0,2,5,0,2,44.55,1,31,5194,120.0,72800,30,55-64,No,,95000.0,Approved
,9,9,Joint,2.0,White,3.0,2,5,0,2,11.9,1,2,4321,131.0,72800,46,25-34,No,No,35000.0,Approved
,9,9,Joint,2.0,Black or African American,2.0,2,5,0,2,97.98,1,4,3274,203.0,72800,69,55-64,No,No,105000.0,Approved
<20%,8,10,Male,2.0,Black or African American,5.0,2,3,0,2,96.6,1,2,1440,40.0,72800,78,25-34,No,,25000.0,Denied
>60%,8,10,Female,3.0,Black or African American,5.0,2,3,0,2,90.47,1,2,2560,10.0,72800,65,35-44,No,,25000.0,Denied
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,27.38,1,32,6260,49.0,72800,66,8888,,,115000.0,Approved
<20%,9,10,Female,2.0,Asian,5.0,2,3,0,2,98.54,1,2,1987,28.0,72800,77,35-44,No,,45000.0,Denied
30%-<36%,8,10,Male,3.0,Black or African American,5.0,2,3,0,2,98.15,1,2,2538,45.0,72800,62,35-44,No,,105000.0,Denied
20%-<30%,8,10,Female,2.0,Black or African American,5.0,2,3,0,2,98.76,1,2,3707,70.0,72800,68,25-34,No,,25000.0,Denied
,9,9,Joint,3.0,Race Not Available,3.0,2,5,0,2,11.16,1,2,4588,194.0,72800,72,25-34,No,No,255000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,97.62,2,1,2945,34.0,72800,73,8888,,,85000.0,Approved
>60%,8,10,Male,2.0,Asian,5.0,2,3,0,2,13.66,1,2,6471,145.0,72800,39,45-54,No,,55000.0,Denied
30%-<36%,8,10,Male,2.0,Black or African American,5.0,2,3,0,2,95.72,1,4,2569,50.0,72800,70,35-44,No,,25000.0,Denied
20%-<30%,8,10,Male,2.0,Black or African American,5.0,2,3,0,2,95.7,1,2,3002,100.0,72800,71,45-54,No,,25000.0,Denied
,9,9,Female,2.0,White,5.0,2,5,0,2,13.2,1,4,3461,71.0,72800,53,>74,Yes,,45000.0,Approved
,9,9,Male,2.0,White,5.0,2,4,0,2,30.69,1,2,4206,56.0,72800,65,<25,No,,25000.0,Approved
20%-<30%,2,9,Joint,2.0,White,2.0,2,1,3,2,17.12,1,1,3903,186.0,72800,44,25-34,No,No,305000.0,Approved
,9,9,Female,2.0,White,5.0,2,4,0,2,10.66,1,2,3922,111.0,72800,0,55-64,No,,105000.0,Approved
47,8,10,Male,2.0,Black or African American,5.0,2,3,0,2,82.02,1,2,2242,36.0,72800,0,35-44,No,,105000.0,Denied
20%-<30%,8,9,Joint,2.0,White,2.0,2,3,0,2,39.94,1,2,1928,181.0,72800,43,35-44,No,No,75000.0,Denied
>60%,8,10,Male,12.0,White,5.0,2,3,0,2,94.85,1,2,1417,0.0,72800,0,25-34,No,,45000.0,Denied
20%-<30%,2,10,Female,2.0,White,5.0,2,1,3,2,18.3,1,1,5247,142.0,72800,59,25-34,No,,355000.0,Approved
30%-<36%,8,10,Male,12.0,Race Not Available,5.0,2,3,0,2,94.85,1,2,1417,50.0,72800,0,25-34,No,,25000.0,Denied
30%-<36%,9,8,Joint,2.0,White,2.0,2,1,0,2,12.62,1,2,3399,155.0,72800,57,45-54,No,No,105000.0,Approved
20%-<30%,2,9,Joint,1.0,White,2.0,2,1,3,2,17.3,1,1,3901,180.0,72800,68,35-44,No,No,225000.0,Approved
<20%,9,10,Female,2.0,Black or African American,5.0,2,3,0,2,97.73,1,2,3132,24.0,72800,72,35-44,No,,25000.0,Denied
30%-<36%,8,10,Male,2.0,White,5.0,2,1,0,2,28.24,1,4,3074,62.0,72800,63,25-34,No,,25000.0,Approved
50%-60%,8,10,Female,2.0,White,5.0,2,3,0,2,29.7,1,2,2266,54.0,72800,39,45-54,No,,25000.0,Denied
,9,9,Female,2.0,Black or African American,5.0,2,4,0,2,16.53,1,4,2172,115.0,72800,36,65-74,Yes,,35000.0,Approved
20%-<30%,8,10,Male,2.0,Asian,5.0,2,3,0,2,21.63,1,4,5451,177.0,72800,40,55-64,No,,255000.0,Denied
50%-60%,2,10,Male,2.0,Black or African American,5.0,2,3,0,2,98.78,2,1,3201,44.0,72800,66,45-54,No,,55000.0,Denied
<20%,8,9,Female,2.0,Race Not Available,3.0,2,3,0,2,98.25,1,2,2285,265.0,72800,74,45-54,No,No,25000.0,Denied
30%-<36%,8,10,Male,2.0,White,5.0,2,1,0,2,10.52,1,2,3764,145.0,72800,65,25-34,No,,95000.0,Approved
>60%,8,10,Female,2.0,Black or African American,5.0,2,3,0,2,64.08,1,4,3756,55.0,72800,44,45-54,No,,35000.0,Denied
43,8,10,Male,2.0,White,5.0,2,3,0,2,20.98,1,2,2593,45.0,72800,65,35-44,No,,55000.0,Denied
,9,9,Female,2.0,White,5.0,2,5,0,2,14.25,1,31,2477,108.0,72800,23,45-54,No,,85000.0,Approved
30%-<36%,8,10,Male,3.0,Black or African American,5.0,2,3,0,2,97.17,1,4,3037,50.0,72800,67,45-54,No,,25000.0,Denied
50%-60%,8,10,Female,2.0,Black or African American,5.0,2,3,0,2,98.23,1,2,2255,50.0,72800,76,35-44,No,,75000.0,Denied
>60%,8,10,Male,2.0,White,5.0,2,3,0,2,23.74,1,4,4389,50.0,72800,67,55-64,No,,55000.0,Denied
49,8,10,Male,1.0,White,5.0,2,3,0,2,18.9,1,2,3164,104.0,72800,45,25-34,No,,25000.0,Denied
50%-60%,8,10,Male,12.0,White,5.0,2,3,0,2,38.43,1,2,2753,55.0,72800,0,35-44,No,,85000.0,Denied
20%-<30%,3,10,Female,1.0,Race Not Available,5.0,2,3,0,2,98.33,1,1,3768,25.0,72800,68,<25,No,,55000.0,Denied
,9,9,Female,3.0,White,5.0,2,5,0,2,15.42,1,2,1926,68.0,72800,43,65-74,Yes,,105000.0,Approved
,9,9,Female,2.0,Black or African American,5.0,2,5,0,2,84.14,1,4,4237,77.0,72800,67,45-54,No,,55000.0,Approved
20%-<30%,8,9,Joint,2.0,White,2.0,2,1,0,2,13.66,1,2,6471,116.0,72800,39,65-74,Yes,No,125000.0,Approved
,9,9,Male,2.0,Race Not Available,5.0,2,4,0,2,18.37,2,1,2096,50.0,72800,64,35-44,No,,175000.0,Approved
50%-60%,8,10,Female,2.0,Black or African American,5.0,2,3,0,2,55.83,1,2,3251,45.0,72800,69,25-34,No,,25000.0,Denied
,9,9,Female,2.0,Black or African American,5.0,2,4,0,2,98.61,1,1,3374,51.0,72800,70,25-34,No,,115000.0,Approved
50%-60%,8,10,Male,3.0,Race Not Available,5.0,2,3,0,2,7.64,1,2,6018,36.0,72800,76,55-64,No,,25000.0,Denied
<20%,8,10,Sex Not Available,3.0,Race Not Available,5.0,2,3,0,2,39.63,1,2,5319,110.0,72800,74,<25,No,,55000.0,Denied
,9,9,Male,2.0,White,5.0,2,5,0,2,19.23,1,1,5527,101.0,72800,48,25-34,No,,55000.0,Approved
20%-<30%,8,10,Male,3.0,Race Not Available,5.0,2,3,0,2,18.66,1,2,2857,110.0,72800,62,45-54,No,,45000.0,Denied
,9,9,Male,2.0,White,5.0,2,4,0,2,61.9,1,2,3701,127.0,72800,0,35-44,No,,65000.0,Approved
<20%,9,10,Male,3.0,Asian,5.0,2,3,0,2,23.74,1,2,4389,200.0,72800,67,45-54,No,,25000.0,Denied
20%-<30%,8,10,Male,2.0,Race Not Available,5.0,2,3,0,2,19.26,1,2,3437,115.0,72800,66,45-54,No,,105000.0,Denied
,9,9,Female,2.0,White,5.0,2,5,0,2,13.66,1,4,6471,81.0,72800,39,65-74,Yes,,255000.0,Approved
>60%,8,10,Male,2.0,White,5.0,2,3,0,2,41.74,1,2,5149,15.0,72800,62,45-54,No,,55000.0,Denied
37,9,8,Joint,2.0,White,2.0,2,1,0,2,24.79,1,2,3982,70.0,72800,70,35-44,No,No,65000.0,Approved
>60%,8,10,Female,2.0,White,5.0,2,3,0,2,11.3,1,2,3541,40.0,72800,0,45-54,No,,25000.0,Denied
>60%,3,10,Male,2.0,Black or African American,5.0,2,3,0,2,54.66,2,1,3297,17.0,72800,63,45-54,No,,125000.0,Denied
20%-<30%,8,10,Male,2.0,White,5.0,2,3,0,2,54.66,1,2,3297,75.0,72800,63,45-54,No,,55000.0,Denied
38,8,10,Female,2.0,Black or African American,5.0,2,1,0,2,42.93,1,2,5239,77.0,72800,36,45-54,No,,45000.0,Approved
37,8,10,Male,2.0,White,5.0,2,1,0,2,22.91,1,2,4461,125.0,72800,58,35-44,No,,25000.0,Approved
41,9,10,Female,2.0,Black or African American,5.0,2,1,0,2,43.8,1,1,4489,37.0,72800,70,35-44,No,,135000.0,Approved
<20%,8,9,Joint,2.0,White,2.0,2,1,0,2,34.43,1,2,6122,259.0,72800,15,55-64,No,No,55000.0,Approved
<20%,8,10,Female,2.0,Black or African American,5.0,2,3,0,2,92.69,1,2,3952,52.0,72800,70,25-34,No,,25000.0,Denied
30%-<36%,2,10,Male,2.0,Black or African American,5.0,2,1,3,2,72.03,1,1,3043,43.0,72800,64,25-34,No,,105000.0,Approved
,9,9,Female,2.0,White,5.0,2,5,0,2,23.92,1,2,3035,50.0,72800,60,55-64,No,,105000.0,Approved
<20%,1,10,Male,2.0,White,5.0,2,2,0,2,13.59,1,31,1648,268.0,72800,0,65-74,Yes,,235000.0,Approved
46,2,10,Female,2.0,Black or African American,5.0,2,1,3,2,99.34,1,1,3183,42.0,72800,66,25-34,No,,95000.0,Approved
<20%,8,10,Female,3.0,Race Not Available,5.0,2,3,0,2,70.82,1,2,5518,60.0,72800,68,45-54,No,,25000.0,Denied
>60%,8,10,Female,14.0,White,5.0,2,3,0,2,13.49,1,2,2594,60.0,72800,72,45-54,No,,35000.0,Denied
<20%,8,10,Female,3.0,White,5.0,2,3,0,2,19.29,1,4,2665,125.0,72800,63,55-64,No,,35000.0,Denied
>60%,8,10,Male,2.0,White,5.0,2,3,0,2,14.58,1,2,1866,70.0,72800,65,55-64,No,,35000.0,Denied
<20%,8,9,Joint,2.0,White,2.0,2,3,0,2,14.93,1,2,4997,97.0,72800,48,45-54,No,No,25000.0,Denied
<20%,8,10,Female,2.0,Black or African American,5.0,2,3,0,2,97.13,1,2,1814,65.0,72800,72,35-44,No,,25000.0,Denied
49,8,10,Male,2.0,Black or African American,5.0,2,1,0,2,95.05,1,4,3996,24.0,72800,69,65-74,Yes,,45000.0,Approved
50%-60%,8,10,Male,2.0,White,5.0,2,3,0,2,19.77,1,4,2747,57.0,72800,61,25-34,No,,25000.0,Denied
38,8,10,Female,2.0,White,5.0,2,3,0,2,23.03,1,4,7337,92.0,72800,22,>74,Yes,,25000.0,Denied
,9,9,Male,2.0,2 or more minority races,5.0,2,5,0,2,27.53,1,4,3640,138.0,72800,65,55-64,No,,35000.0,Approved
<20%,9,8,Joint,3.0,White,2.0,2,3,0,2,24.79,1,2,3982,116.0,72800,70,55-64,No,No,175000.0,Denied
41,3,10,Male,2.0,White,5.0,2,3,0,2,10.99,1,1,3240,194.0,72800,52,35-44,No,,645000.0,Denied
<20%,8,10,Male,2.0,Black or African American,5.0,2,3,0,2,82.02,1,2,2242,274.0,72800,0,25-34,No,,75000.0,Denied
50%-60%,8,9,Joint,2.0,White,2.0,2,3,0,2,23.35,1,4,3838,70.0,72800,57,35-44,No,Yes,55000.0,Denied
20%-<30%,1,10,Sex Not Available,3.0,Race Not Available,5.0,2,1,3,1,18.06,1,1,4702,93.0,72800,74,25-34,No,,275000.0,Approved
>60%,1,10,Female,2.0,Black or African American,5.0,2,3,0,2,98.82,2,1,2874,18.0,72800,69,25-34,No,,85000.0,Denied
20%-<30%,8,10,Female,2.0,Black or African American,5.0,2,3,0,2,97.62,1,2,2692,48.0,72800,73,25-34,No,,25000.0,Denied
50%-60%,8,10,Male,2.0,White,5.0,2,3,0,2,10.52,1,2,3764,256.0,72800,65,35-44,No,,105000.0,Denied
20%-<30%,8,10,Male,14.0,White,5.0,2,3,0,2,11.9,1,2,4321,388.0,72800,46,45-54,No,,65000.0,Denied
<20%,8,10,Sex Not Available,3.0,Race Not Available,5.0,2,3,0,2,80.72,1,2,2428,55.0,72800,66,25-34,No,,45000.0,Denied
50%-60%,8,10,Male,3.0,Race Not Available,5.0,2,3,0,2,18.37,1,2,2096,83.0,72800,64,35-44,No,,65000.0,Denied
43,9,3,Joint,2.0,Black or African American,2.0,2,1,3,2,82.05,1,1,1972,128.0,72800,0,65-74,Yes,No,285000.0,Approved
>60%,8,10,Male,2.0,Black or African American,5.0,2,3,0,2,50.77,1,4,3498,75.0,72800,25,65-74,Yes,,75000.0,Denied
20%-<30%,8,10,Male,2.0,White,5.0,2,3,0,2,19.77,1,2,2747,100.0,72800,61,35-44,No,,55000.0,Denied
<20%,8,10,Male,2.0,White,5.0,2,3,0,2,95.92,1,2,1153,60.0,72800,0,35-44,No,,35000.0,Denied
,9,9,Male,2.0,Black or African American,5.0,2,5,0,2,98.3,1,2,2943,61.0,72800,71,55-64,Yes,,105000.0,Approved
47,8,10,Male,2.0,Black or African American,5.0,2,3,0,2,71.97,1,2,2280,60.0,72800,74,45-54,No,,65000.0,Denied
>60%,8,10,Male,1.0,White,5.0,2,3,0,2,58.84,1,4,4419,11.0,72800,59,35-44,No,,25000.0,Denied
36,8,9,Joint,3.0,White,2.0,2,3,0,2,35.43,1,2,2650,106.0,72800,41,55-64,No,No,45000.0,Denied
20%-<30%,3,10,Male,2.0,White,5.0,2,1,0,2,23.98,1,1,4350,750.0,72800,26,35-44,No,,1635000.0,Approved
43,8,10,Male,2.0,Asian,5.0,2,1,0,2,10.05,1,1,4258,51.0,72800,54,35-44,No,,205000.0,Approved
47,8,9,Sex Not Available,3.0,Race Not Available,3.0,2,3,0,2,82.05,1,2,1972,94.0,72800,0,65-74,Yes,Yes,55000.0,Denied
20%-<30%,8,10,Female,2.0,Black or African American,5.0,2,3,0,2,96.74,1,2,5184,34.0,72800,76,55-64,No,,55000.0,Denied
,9,9,Joint,2.0,White,2.0,2,5,0,2,18.23,1,2,3945,148.0,72800,0,65-74,Yes,Yes,205000.0,Approved
50%-60%,9,8,Joint,2.0,Race Not Available,2.0,2,1,0,2,33.64,1,31,5173,33.0,72800,66,45-54,No,No,165000.0,Approved
40,8,10,Male,2.0,White,5.0,2,3,0,2,14.84,1,2,3908,130.0,72800,67,45-54,No,,25000.0,Denied
40,8,10,Male,2.0,Black or African American,5.0,2,3,0,2,98.67,1,4,3823,64.0,72800,71,35-44,No,,25000.0,Denied
,9,9,Male,2.0,Black or African American,5.0,2,5,0,2,82.05,1,32,1972,68.0,72800,0,55-64,No,,175000.0,Approved
20%-<30%,8,10,Female,2.0,White,5.0,2,1,0,2,9.61,1,2,5817,155.0,72800,76,45-54,No,,35000.0,Approved
39,9,8,Male,2.0,Race Not Available,2.0,2,3,0,2,27.38,1,2,6260,188.0,72800,66,25-34,No,Yes,135000.0,Denied
42,8,10,Male,,Free Form Text Only,5.0,2,1,0,2,44.55,1,2,5194,129.0,72800,30,35-44,No,,125000.0,Approved
20%-<30%,8,10,Sex Not Available,3.0,Race Not Available,5.0,2,3,0,2,8.77,1,1,5715,35.0,72800,76,45-54,No,,75000.0,Denied
20%-<30%,9,10,Male,2.0,Black or African American,5.0,2,3,0,2,99.33,1,2,1341,12.0,72800,0,55-64,Yes,,25000.0,Denied
<20%,8,10,Female,2.0,Black or African American,5.0,2,3,0,2,97.62,1,2,2692,30.0,72800,73,<25,No,,25000.0,Denied
36,8,10,Male,2.0,White,5.0,2,3,0,2,9.0,1,2,7392,40.0,72800,78,65-74,Yes,,75000.0,Denied
30%-<36%,8,10,Male,2.0,White,5.0,2,1,0,2,10.99,1,2,3240,181.0,72800,52,45-54,No,,125000.0,Approved
<20%,9,10,Male,2.0,Black or African American,5.0,2,3,0,2,98.6,1,2,2072,116.0,72800,65,65-74,Yes,,25000.0,Denied
42,8,9,Joint,2.0,White,2.0,2,3,0,2,19.23,1,4,5527,127.0,72800,48,25-34,No,No,55000.0,Denied
30%-<36%,8,10,Female,3.0,Race Not Available,5.0,2,3,0,2,97.88,1,2,3579,68.0,72800,71,45-54,No,,25000.0,Denied
45,8,10,Female,3.0,Race Not Available,5.0,2,3,0,2,8.39,1,4,3670,157.0,72800,46,45-54,No,,45000.0,Denied
30%-<36%,9,10,Female,2.0,Black or African American,5.0,2,3,0,2,96.74,1,1,5184,75.0,72800,76,35-44,No,,205000.0,Denied
,9,9,Sex Not Available,3.0,Black or African American,5.0,2,5,0,2,98.78,1,1,3201,50.0,72800,66,25-34,No,,75000.0,Approved
>60%,8,10,Male,2.0,White,5.0,2,3,0,2,43.82,1,4,5157,36.0,72800,65,45-54,No,,55000.0,Denied
>60%,8,10,Female,2.0,Black or African American,5.0,2,3,0,2,98.5,1,2,4863,38.0,72800,67,55-64,No,,75000.0,Denied
>60%,8,10,Female,3.0,Black or African American,5.0,2,3,0,2,97.66,1,2,3465,73.0,72800,68,35-44,No,,55000.0,Denied
41,1,10,Female,2.0,Black or African American,5.0,2,1,3,1,92.16,1,1,3624,39.0,72800,0,35-44,No,,115000.0,Approved
<20%,8,10,Female,2.0,White,5.0,2,3,0,2,95.05,1,2,3996,57.0,72800,69,45-54,No,,55000.0,Denied
40,3,9,Joint,2.0,Black or African American,2.0,2,3,0,2,54.26,1,1,2687,83.0,72800,63,55-64,No,Yes,135000.0,Denied
20%-<30%,8,10,Male,2.0,White,5.0,2,3,0,2,12.44,1,1,5352,300.0,72800,73,25-34,No,,125000.0,Denied
47,8,10,Female,2.0,White,5.0,2,3,0,2,12.47,1,2,7106,90.0,72800,57,55-64,No,,35000.0,Denied
